restaurant_name,review_text,review_rating
Gary Danko,"One of the best, if not the best high end fine dining experiences in the Bay Area. Food was great of coarse but the service is what makes the experience well worth the $.",Overall5
Gary Danko,"The food was very good, and the portion sizes were pretty substantial. However, I would recommend this place for the outstanding service. I especially loved the risotto and the polenta! Will definitely visit any time I'm back in this city.",Overall4
Gary Danko,"Marvelous dining experience.  Wine paring for the two of us was perfect and every dish was prepared to perfection.  The knowledgable, gracious and attentive staff is to be commended.  We were greeted warmly upon arrival which set the tone for the superior level of service received.",Overall5
Gary Danko,Great food and great service.  One of the very best in the city,Overall5
Gary Danko,"We had a wonderful experience at Gary Danko celebrating the birthdays of two dear friends.  The food, service and classy atmosphere were all wonderful (as always!).",Overall5
Gary Danko,"Restaurant Gary Danko is our favorite restaurant in the world.  We come to San Francisco once a year and we always make a reservation at RGD.  It NEVER disappoints.  The  food, service and the atmosphere are always great.  From when our party walks in the door, we always feel welcome.  The food and drink are always great,  I could go on and on with great accolades about the restaurant.  In the interest of brevity, I will not.  Thank you, Gary Danko, for always being great,Read more",Overall5
Gary Danko,"Outstanding service, delicious food and very memorable evening",Overall5
Gary Danko,"Most of the food was very good. I wan not impressed with soufflé unfortunately, I was really looking forward to trying that. It lacked flavor and the texture was kind of like a cake pudding. Just not a hit for me. The Japanese sweet potato that came with the seared scallops was so damn good. I would have loved to have more of the Yuzu sauce with it. Seriously that was potato was so delicious. The steak and potato dish was also good, and so was the risotto. The soup sample and little ""appeasement bite"" that was served were also delicious. I did not enjoy either of the cocktails that I tasted, but that's okay. I don't remember my server's name, but she was absolutely fantastic. And so was everyone else that stopped by out table. I will absolutely come back again for a date night or anniversary.Read more",Overall4
Gary Danko,"Gary Danko continues to shine after more than 25 years in business! The service is so elevated, it is like no other restaurant in San Francisco. The menu is broad and it’s difficult to choose between options, but everything you order will be simply amazing!
We ordered the lobster salad, seafood risotto, lamb loin and filet of beef. Each course was beautifully presented and sumptuously prepared. We found room in our appetites for the cheese board(don’t miss this!) and profiteroles and sorbet trio. It was all mouthwatering. They have an extensive wine list and we are connoisseur of wine, but ordered two wines we have never had before and they were fantastic.
Because it was our anniversary we were also treated with an additional complementary mini deserts, each a burst of flavor.
Every diner also got a very nice surprise to take home and enjoy the next day and we surely did !
Gary Danko restaurant staff ,you are incredible and we can’t wait to return again .Read more",Overall5
Gary Danko,"It is just an iconic restaurant, always an amazing experience.  Great food and outstanding service.",Overall5
Gary Danko,"Well… it was a superb evening  celebrating the birthdays of two wonderful friends. It was so pleased to see a number of new preparations on the menu.  Maybe the best menu I have experienced in the 25 years of regularly dining there.
The attention to detail is simply sundry.
😊Read more",Overall5
Gary Danko,"Great service and food was what we expected, definitely recommended",Overall5
Gary Danko,Both the food and the service are impeccable. It’s our go to place wherever there is a special occasion. We absolutely love it!,Overall5
Gary Danko,It was am amazing experience and great food. I came there for my 40th birthday with my husband and we will definitely be back.,Overall5
Gary Danko,A lovely evening. Each course was terrific and was paced wonderfully,Overall5
Gary Danko,"Our party of four had a great experience at Gary Danko. Most dishes impressed, and the soufflé was the perfect finale. The only minor flaw was an overly salty side. Overall, a wonderful evening!",Overall5
Gary Danko,Great service and spectacular food and vines. Enjoyed the evening very much.,Overall5
Gary Danko,This is an amazing restaurant.  The best in San Francisco.,Overall5
Gary Danko,"Amazing service, great gourmet selections, intimate atmosphere. 
No classic valet parking - but the staff helps to find a solution - literally goes out of their way to help.",Overall5
Gary Danko,"We have been going to Gary Danko’s for over 20 years and have consistently received polished, professional, warm, gracious service and consistently superb, innovative and beautifully presented food.  This is our go-to place for special occasions or just because.",Overall5
Gary Danko,"Beautiful restaurant and ambience although surprised by the noise level on a Monday evening. Service was impeccable. Every course that the four of us ordered was delicious, in particular the scallops and of course the profiteroles! A really special place to celebrate a birthday.",Overall5
Gary Danko,"We had a fantastic evening w another couple-- close friends. So, party of 4. We've been many times in the past-- this might have been our favorite time. The caviar service is very special-- the buckwheat blinis are DELICIOUS. Cannot recommend them highly enough. You won't  regret it. Get 1 Oz of the lowest one as appetizer to share. Super fun, fantastic way to start.

Love how each person can lick whatever they want, any course any time. 3, 4, or 5 courses. Recommend 3 if w the caviar. Could do 4 course if no caviar course. The lobster risotto is amazing. So is the roasted lobster. My husband loved the pork tenderloin.

The Soufflés are delicious . Cheese cart:course is one-of-a-kind, if you like cheese.  Our friend was delighted.

The service was impeccable, outstanding.

We will be back again sometime for a special meal.  It is incredibly reasonable for the quality and quantity honestly of food. 5 star everything. Highly highly recommend. Beautiful ambiance , w the lighting, art, table spacing, floral arrangements, even the restroom : )  perfect for great conversation.Read more",Overall5
Gary Danko,Scallop dish may have been my favorite dish of all time.  Service is excellent.,Overall5
Gary Danko,"Service was exceptional with great attention to detail, every dish was done to perfection (which isn't easy given the vast array of choices on the menu), easily blows many of the (pricier) Michelin starred places in Singapore and New York that I had out of the water.",Overall5
Gary Danko,"It was wonderful, and it is my favorite restaurant in all of the Bay Area. ￼",Overall5
Gary Danko,"Good ambience (though a bit too dark). Food is good but some dishes are a bit too bold with spices. Portion is very generous which we really appreciate. Service is excellent, very welcoming and unpretentious which we appreciate in a nice restaurant. We will definitely come back.",Overall4
Gary Danko,"Outstanding ! The service , the food delicious and at the end they gave us two delicious cup cakes !!🧡🧡
The take our coats at the door and take care of us the entire night",Overall5
Gary Danko,"Amazing food!  Oysters with caviar are not to miss, but everything we had was finger licking good.  Also very attentive service. We were there for a birthday celebration and from the moment we entered all staff knew who to congratulate.  Very good advice on dishes and wines.",Overall5
Gary Danko,"We had a very good dinner at Gary Danko with excellent service from entrance to exit.  The place was very busy yet there was always someone right at the table before you thought to look for anyone

What was missing from my previous visit several years ago was the intensity of superb flavors that were groan inducing. The food just wasn’t over the top incredible with flavors that combined in excellence.

. My appetizer duck confit salad contained some dry shredded duck. The rest of the salad included a lot of delicious greens but the fruit was sour and missed pairing well. Dressing was delicious and all ingredients were beautifully fresh and well served.

My roast lobster was very nice but not exceptional. The mashed potato and sweet corn that accompanied it were also good. My filet steak was incredibly tender and that was extremely good and approached the quality of the previous visit. What I missed was the incredible reduction that had been served previously and mushroom flavor intensity.

My dessert was frankly disappointing. It was supposed to be hazelnut Mille-feuille with layers of puff pastry. There wasn’t a puff in sight. The layers were hard and flat with no flakiness at all. I left most of it on the plate.

We left most of the complementary tiny desserts served at the end of dinner. The tiny pillow of key lime pie was delicious but The chocolate one I tried was burnt black at the bottom and not palatable. It is such a shame that the kitchen has lost its inspiration and quality control as everything else is brilliant.

I probably won’t go back. I understand why they lost their Michelin star. It is a lot of money to not be wowed. The meal was $400 for two without any wineRead more",Overall4
Gary Danko,"We love this place. It's pricey but for a special occasion, it's great! Our wait staff was attentive and the food was outstanding. I was initially ready to order an appetizer and two main dishes but I followed my girlfriends lead and only ordered 1 main. This was a good thing as the portions are quite substantial; not huge but more than I had expected. We can't wait to visit again!",Overall5
Gary Danko,"Amazing experience, from the moment getting there until the end. They called me and let me know they opened up a spot for me to park right outside of restaurant. They greeted me and they har prepared a nice table for me and my girl. The service was next level. Food was amazing. All around one of the best dining experiences if you are willing to splurge:)",Overall5
Gary Danko,"First tasted Chef Danko’s delicious cuisine in late 20th century when he was @ San Francisco Ritz Hotel’s dining room.  Was delighted when he opened his own restaurant in San Francisco on North Point and Hyde—2 blocks from my apartment (Chestnut & Hyde)!  Currently live in Manhattan but visiting my sister, who lives 2 blocks from Danko’s @ on Leavenworth and Bay!  Talk about good fortune, it’s a great treat to be able to enjoy such exquisite cuisine so nearby!!Read more",Overall5
Gary Danko,"This is a very special experience.  I've been ￼to a few very special restaurants but this is the best.  Every detail from the entry to the exit was elegant and comfortable. A very competent crew met our every need.  And then there was the food, actually  more than we expected, but still absolutely delicious and presented without any excess drama or over presentation.  It's expensive, but it's worth 10 regular meals.Read more",Overall5
Gary Danko,"Disappointed in oysters, filet & bread pudding
Roasted lobster, branzino &, lobster salad & cheeses were terrific",Overall3
Gary Danko,"Tart was phenomenal
Filet was Perfect
Grape Juice has us looking for it to order!
The added touches at the end
Very special
Lovely PresentationRead more",Overall5
Gary Danko,"In brief, our table was not ready when we arrived so we waited 20 minutes at the bar.  We were not drinking and non alcoholic options were thin.  Given a table and then another “better” one opened after we had started dinner and the hostess suggested to move again.  But interrupted to do so.  The waiter was mildly aggressive in order taking—we were two people and I ordered for both of us which seemed to confuse him.  He called me buddy which does not seem like an appropriate way to address a woman in her 50’s and I later asked him if he called everyone which he said yes to.  He apologised however.  At one point I had asked a man who appeared to be the floor manager for a knife which didn’t come, so I got up and went over to where he was socialising with 5 other waiters and asked again and his response was ‘oh didn’t X get it for you’.  I noted that X was busy, had just gone into the kitchen and that he was standing right in front of the knives.  Random waiters would come by our table asking if we wanted to have our food cleared and put in doggie bags.  It happened at every course and before we had finished.  It was all just a bit off and slightly aggressive.  Some of the fishes were very good but the lobster was not: an enormous quantity of overcooked rice with no identifiable traces of lobster.  I do not believe this restaurant deserves a Michelin star.Read more",Overall3
Gary Danko,"Came here to celebrate my fiancé’s birthday. Phenomenal food, drinks and service. Definitely will dine here again for a special occasion.",Overall5
Gary Danko,"Wow! What a fabulous place to celebrate a momentous occasion. The service was beyond anything we’d ever experienced, and the food was phenomenal.  ￼",Overall5
Gary Danko,"Extremely hospitable, courteous, professional. Tasting menu not as interesting as I would have expected. A La Carte selections were very good. Salad of panko deep fried egg over baby chicory best green assemblage I have ever tasted. Scallops were good but too potatoe-heavy(overwhelmed by Japanese sweet potato with yuzu). My wife completely enjoyed the lobster salad and entree. Also, she raved about the duck. The chocolate soufflés were absolutely exquisite. Perfect preparation. Most probably the best I have ever tasted, in any flavor. Pastry chef is extremely skillful. Cheese offerings very broad range. Very ice to see a truly classic cheese service. Worth a revisit, undoubtedly. Price not bad at all for this level of professionalism in San Francisco.Read more",Overall5
Gary Danko,"We liked the choices on the menu, service was great and food was excellent.",Overall4
Gary Danko,"Wonderful five course with wine pairing and four course with wine pairing!  Impeccable service!
Incredible cheese tray!",Overall5
